date,cases
11/27/20,61827470
11/28/20,62413501
11/29/20,62902084
11/30/20,63410725
12/1/20,64022822
12/2/20,64674220
12/3/20,65368548
12/4/20,66051824
12/5/20,66693987
12/6/20,67232741
12/7/20,67752760
12/8/20,68396288
12/9/20,69066199
12/10/20,70564412
12/11/20,71268909
12/12/20,71903759
12/13/20,72434597
12/14/20,72959984
12/15/20,73596190
12/16/20,74329916
12/17/20,75069498
12/18/20,75789960
12/19/20,76401213
12/20/20,76934686
12/21/20,77483983
12/22/20,78134244
12/23/20,78829366
12/24/20,79496006
12/25/20,79961556
12/26/20,80474158
12/27/20,80912611
12/28/20,81408934
12/29/20,82073362
12/30/20,82834592
12/31/20,83559601
1/1/21,84092619
1/2/21,84718978
1/3/21,85251774
1/4/21,85805892
1/5/21,86546014
1/6/21,87329386
1/7/21,88210223
1/8/21,89013445
1/9/21,89774439
1/10/21,90363573
1/11/21,90983503
1/12/21,91689011
1/13/21,92437399
1/14/21,93192627
1/15/21,93959814
1/16/21,94598958
1/17/21,95128170
1/18/21,95643236
1/19/21,96251662
1/20/21,96944599
1/21/21,97600922
1/22/21,98259983
1/23/21,98828107
1/24/21,99273761
1/25/21,99771101
1/26/21,100327339
1/27/21,100925700
1/28/21,101539951
1/29/21,102130394
1/30/21,102645724
1/31/21,103027363
2/1/21,103474137
2/2/21,103932094
2/3/21,104454075
2/4/21,104920982
2/5/21,105456410
2/6/21,105828535
2/7/21,106226613
2/8/21,106542506
2/9/21,106970539
2/10/21,107406280
2/11/21,107847745
2/12/21,108276434
2/13/21,108649735
2/14/21,108943585
2/15/21,109226751
2/16/21,109577771
2/17/21,109973326
2/18/21,110376842
2/19/21,110789361
2/20/21,111159816
2/21/21,111474262
2/22/21,111762700
2/23/21,112151552
2/24/21,112596489
2/25/21,113043967
2/26/21,113487006
2/27/21,113876236
2/28/21,114179745
3/1/21,114485609
3/2/21,114795897
3/3/21,115237039
3/4/21,115690088
3/5/21,116137140
3/6/21,116547675
3/7/21,116915987
