date,deaths
12/16/20,1653829
12/17/20,1667244
12/18/20,1680009
12/19/20,1690777
12/20/20,1698688
12/21/20,1708354
12/22/20,1722661
12/23/20,1736463
12/24/20,1748096
12/25/20,1756670
12/26/20,1764064
12/27/20,1771466
12/28/20,1781221
12/29/20,1796385
12/30/20,1811644
12/31/20,1824781
1/1/21,1834448
1/2/21,1842876
1/3/21,1850211
1/4/21,1860365
1/5/21,1875676
1/6/21,1890732
1/7/21,1905650
1/8/21,1920815
1/9/21,1933596
1/10/21,1941943
1/11/21,1952259
1/12/21,1969364
1/13/21,1986068
1/14/21,2001425
1/15/21,2016543
1/16/21,2029815
1/17/21,2038448
1/18/21,2047854
1/19/21,2064436
1/20/21,2082340
1/21/21,2099105
1/22/21,2115111
1/23/21,2128403
1/24/21,2137371
1/25/21,2148133
1/26/21,2165469
1/27/21,2182152
1/28/21,2199182
1/29/21,2214110
1/30/21,2227681
1/31/21,2235658
2/1/21,2245858
2/2/21,2260738
2/3/21,2276441
2/4/21,2288984
2/5/21,2305493
2/6/21,2315589
2/7/21,2323505
2/8/21,2331830
2/9/21,2347367
2/10/21,2360785
2/11/21,2374234
2/12/21,2386694
2/13/21,2396490
2/14/21,2402820
2/15/21,2409709
2/16/21,2420609
2/17/21,2431953
2/18/21,2443316
2/19/21,2454348
2/20/21,2462844
2/21/21,2468691
2/22/21,2475621
2/23/21,2486802
2/24/21,2498802
2/25/21,2508890
2/26/21,2519200
2/27/21,2527321
2/28/21,2532747
3/1/21,2539950
3/2/21,2550388
3/3/21,2561466
3/4/21,2571247
3/5/21,2581265
3/6/21,2589099
3/7/21,2594369
3/8/21,2601233
3/9/21,2611215
3/10/21,2620909
3/11/21,2630680
3/12/21,2640331
3/13/21,2648902
3/14/21,2654398
3/15/21,2661216
3/16/21,2671100
3/17/21,2681192
3/18/21,2691745
3/19/21,2702113
3/20/21,2710216
3/21/21,2716067
3/22/21,2723432
3/23/21,2734523
3/24/21,2744216
3/25/21,2755677
3/26/21,2767888
3/27/21,2777720
3/28/21,2784194
3/29/21,2792152
3/30/21,2803717
3/31/21,2815985
4/13/21,2959158
4/14/21,2972691
